date_string,time_string,player_name,pokemon,trainer_name, trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam
11-18,18:13:28,NINTEN,Articuno,Rival1-Lab,1,Pallet Town - Oak's Lab,1,13.49,13,0h0m13s,0,0,5,0:02,2.282,PECK,ICE BEAM,,,0,72,2,1,1,3,3,2,0,3000,Jolteon
11-18,18:14:01,NINTEN,Articuno,Bug Catcher,3,Viridian Forest,1,46.66,46,0h0m46s,0,0,7,0:10,2.767,ICE BEAM,PECK,,,0,605,65,2,11,9,9,5,1,3175,Flareon
11-18,18:14:07,NINTEN,Articuno,Brock,1,Pewter City - Gym,2,53.28,53,0h0m53s,0,0,9,0:11,2.625,ICE BEAM,PECK,,,0,709,66,3,12,11,11,6,1,3275,Flareon
11-18,18:14:16,NINTEN,Articuno,Bug Catcher,4,Route 3,3,1:01.57,1:01,0h1m1s,0,0,10,0:13,4.657,ICE BEAM,PECK,,,0,786,66,4,12,17,17,11,2,4463,Flareon
11-18,18:14:18,NINTEN,Articuno,Youngster,1,Route 3,2,1:04.34,1:04,0h1m4s,0,0,10,0:14,1.813,ICE BEAM,PECK,,,0,790,66,5,12,19,19,11,2,4563,Flareon
11-18,18:14:24,NINTEN,Articuno,Bug Catcher,5,Route 3,4,1:10.00,1:10,0h1m10s,0,0,11,0:15,4.832,ICE BEAM,PECK,,,0,794,67,6,12,25,25,13,2,4728,Flareon
11-18,18:14:29,NINTEN,Articuno,Bug Catcher,6,Route 3,2,1:15.08,1:15,0h1m15s,0,0,12,0:17,3.233,ICE BEAM,PECK,,,0,804,67,7,12,29,29,15,2,4818,Flareon
11-18,18:14:38,NINTEN,Articuno,Super Nerd,1,Mt Moon - 1,2,1:23.40,1:23,0h1m23s,0,0,13,0:19,2.424,ICE BEAM,PECK,,,0,945,86,8,12,32,32,16,2,4928,Flareon
11-18,18:14:57,NINTEN,Articuno,Super Nerd,2,Mt Moon - 3,3,1:43.23,1:43,0h1m43s,0,0,14,0:23,2.798,ICE BEAM,PECK,,,0,1168,89,9,24,36,36,16,3,5203,Flareon
11-18,18:15:02,NINTEN,Articuno,Rocket,42,Mt Moon - 3,3,1:47.92,1:47,0h1m47s,0,0,15,0:24,2.626,ICE BEAM,PECK,,,0,1184,91,10,24,39,39,16,4,5503,Flareon
11-18,18:15:14,NINTEN,Articuno,Rival2-Nugget Bridge,3,Cerulean City,4,1:59.82,1:59,0h1m59s,0,0,16,0:27,4.502,ICE BEAM,PECK,,,0,1384,119,11,24,45,45,19,4,5923,Flareon
11-18,18:15:21,NINTEN,Articuno,Bug Catcher,9,Route 24,2,2:06.87,2:06,0h2m6s,0,0,16,0:29,2.563,ICE BEAM,PECK,,,0,1457,122,12,24,48,48,20,4,6518,Flareon
11-18,18:15:24,NINTEN,Articuno,Lass,8,Route 24,2,2:09.62,2:09,0h2m9s,0,0,16,0:29,1.923,ICE BEAM,PECK,,,0,1459,123,13,24,50,50,21,4,6658,Flareon
11-18,18:15:27,NINTEN,Articuno,Youngster,4,Route 24,3,2:13.19,2:13,0h2m13s,0,0,17,0:30,2.78,ICE BEAM,PECK,,,0,1463,125,14,24,53,53,21,4,6868,Flareon
11-18,18:15:30,NINTEN,Articuno,Lass,7,Route 24,2,2:15.91,2:15,0h2m15s,0,0,17,0:31,1.907,ICE BEAM,PECK,,,0,1467,128,15,24,55,55,21,4,7078,Flareon
11-18,18:15:33,NINTEN,Articuno,Jr Trainer M,3,Route 24,1,2:18.78,2:18,0h2m18s,0,0,17,0:31,1.984,ICE BEAM,PECK,,,0,1471,130,16,24,57,57,22,4,7318,Flareon
11-18,18:15:38,NINTEN,Articuno,Rocket,6,Route 24,2,2:23.74,2:23,0h2m23s,0,0,18,0:33,3.127,ICE BEAM,PECK,,,0,1477,130,17,24,61,61,24,5,7678,Flareon
11-18,18:15:42,NINTEN,Articuno,Hiker,2,Route 25,2,2:28.12,2:28,0h2m28s,0,0,18,0:34,1.829,ICE BEAM,PECK,,,0,1521,133,18,24,63,63,24,5,8128,Flareon
11-18,18:15:48,NINTEN,Articuno,Lass,9,Route 25,2,2:34.05,2:34,0h2m34s,0,0,18,0:35,3.328,ICE BEAM,PECK,,,0,1543,136,19,24,67,67,26,6,8653,Flareon
11-18,18:15:52,NINTEN,Articuno,Jr Trainer M,2,Route 25,2,2:38.34,2:38,0h2m38s,0,0,19,0:36,2.125,ICE BEAM,PECK,,,0,1553,138,20,24,69,69,26,4,8878,Flareon
11-18,18:15:56,NINTEN,Articuno,Lass,10,Route 25,3,2:42.12,2:42,0h2m42s,0,0,19,0:37,2.531,ICE BEAM,PECK,,,0,1568,138,21,24,72,72,26,4,9158,Flareon
11-18,18:16:08,NINTEN,Articuno,Jr Trainer F,1,Cerulean City - Gym,1,2:53.48,2:53,0h2m53s,0,0,19,0:39,2.251,ICE BEAM,PECK,,,0,1763,150,22,24,75,75,28,6,9353,Flareon
11-18,18:16:16,NINTEN,Articuno,Misty,1,Cerulean City - Gym,2,3:01.45,3:01,0h3m1s,0,0,20,0:41,6.033,ICE BEAM,PECK,,,1,1764,152,23,24,84,84,34,6,9733,Flareon
11-18,18:16:27,NINTEN,Articuno,Cerulean Rocket,5,Cerulean City,2,3:12.51,3:12,0h3m12s,0,0,21,0:44,6.282,ICE BEAM,PECK,,,1,1851,161,24,24,95,88,43,7,11812,Flareon
