player_name,pokemon,trainer_name,real_time_hmmss,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4
NINTEN,Mew,Rival1-Lab,44,0,0,6,0:02,9.495,POUND,,,
NINTEN,Mew,Brock,4:33,0,0,13,0:17,57.002,POUND,TRANSFORM,,
NINTEN,Mew,Misty,8:03,0,0,21,0:31,16.936,MEGA PUNCH,TRANSFORM,POUND,
NINTEN,Mew,Rival2-Nugget Bridge,8:37,0,0,22,0:33,14.411,BUBBLEBEAM,TRANSFORM,POUND,MEGA PUNCH
NINTEN,Mew,Cerulean Rocket,11:02,0,0,25,0:42,6.823,BUBBLEBEAM,TRANSFORM,POUND,MEGA PUNCH
NINTEN,Mew,Rival3-SS Anne,12:14,0,0,26,0:47,12.541,BUBBLEBEAM,DIG,POUND,MEGA PUNCH
NINTEN,Mew,Surge,12:54,0,0,27,0:50,5.958,BUBBLEBEAM,DIG,POUND,MEGA PUNCH
NINTEN,Mew,Rival4-Pkmn Tower,17:40,0,0,31,1:09,14.631,BUBBLEBEAM,DIG,THUNDERBOLT,PSYCHIC
NINTEN,Mew,Rival5-Silph,19:58,0,0,36,1:18,22.111,BUBBLEBEAM,DIG,THUNDERBOLT,PSYCHIC
NINTEN,Mew,Erika,23:24,0,0,39,1:31,10.838,EARTHQUAKE,DIG,THUNDERBOLT,PSYCHIC
NINTEN,Mew,Koga,24:27,0,0,41,1:35,15.93,EARTHQUAKE,DIG,THUNDERBOLT,PSYCHIC
NINTEN,Mew,Blaine,26:53,0,0,46,1:45,17.879,EARTHQUAKE,SWORDS DANCE,THUNDERBOLT,PSYCHIC
NINTEN,Mew,Sabrina,27:32,0,0,47,1:48,12.256,EARTHQUAKE,SWORDS DANCE,THUNDERBOLT,PSYCHIC
NINTEN,Mew,Giovanni,29:36,0,1,50,1:56,20.923,EARTHQUAKE,SWORDS DANCE,THUNDERBOLT,PSYCHIC
NINTEN,Mew,Rival6-Route 22,30:21,0,1,51,1:59,26.611,EARTHQUAKE,SWORDS DANCE,THUNDERBOLT,PSYCHIC
NINTEN,Mew,Lorelei,32:45,0,1,52,2:08,27.208,EARTHQUAKE,SWORDS DANCE,THUNDERBOLT,PSYCHIC
NINTEN,Mew,Bruno,33:06,0,1,53,2:10,15.514,EARTHQUAKE,SWORDS DANCE,THUNDERBOLT,PSYCHIC
NINTEN,Mew,Agatha,33:30,0,1,54,2:11,16.973,EARTHQUAKE,SWORDS DANCE,THUNDERBOLT,PSYCHIC
NINTEN,Mew,Lance,34:13,0,1,56,2:14,21.842,EARTHQUAKE,SWORDS DANCE,THUNDERBOLT,BLIZZARD
NINTEN,Mew,Champion,35:11,0,1,57,2:18,45.419,EARTHQUAKE,SWORDS DANCE,THUNDERBOLT,BLIZZARD
NINTEN,Mew,Hall of Fame,35:11,0,1,57,2:19,67.634,EARTHQUAKE,SWORDS DANCE,THUNDERBOLT,BLIZZARD
